"URL","Artist","Hometown","Tags","Description","Youtube Link"
"http://do512.com/c/sx2013/bands/the-creepy-creeps","The Creepy Creeps","San Diego, CA Tags: rock, surf, dance party","rock, surf, dance party","A’cappella / Breakcore / Ghettotech","http://www.youtube.com/e/5dNrnkyX4Jg?enablejsapi=1&version=3"
"http://do512.com/c/sx2013/bands/kid-congo-and-the-pink-monkey-birds","Kid Congo and the Pink Monkey Birds","Mars Tags: rock, alternative, psychedelic, psychedelic rock","rock, alternative, psychedelic, psychedelic rock","Bio: Kid Congo and The Pink Monkey Birds new album Gorilla Rose: Gun Club co-founder. Gunslinger for The Cramps. Six-string stylist for Nick Cave and The Bad Seeds. The legendary Kid Congo Powers titles his new album on INTHERED Records GORILLA ROSE after artist/performer Gorilla Rose. As a teenage boy Kid met Gorilla thru seminal weirdo band, The Screamers in the emerging LA Punk music scene of the 70’s. He recalls, “Gorilla Rose was a close and constant presence and influence on The Screamers and me as a young pup. He was to The Screamers like Bobby Neuwirth was to Dylan, a jester of sorts, sparking many of their great lyric ideas. I still think GORILLA ROSE is the most fabulous nom de plume in history. His unsung specter had been in my mind a lot last year so I decided to title the album GORILLA ROSE to honor his name and bring him into rock n roll’s ongoing conversation.” While editing his fan club newsletters at a haunted Hollywood house, a teenage Kid Congo was also exposed to the sounds of Neu, Nico, Billie Holiday, and the “Susperia” movie soundtrack by Goblin. Along with Gorilla and Kid’s Garage rock pedigree, these past influences found their way back into his new album. For GORILLA ROSE Kid Congo and The Pink Monkey Birds grabbed producer Jason Ward and hightailed it back to the magik gymnasium at The Harveyville Project, a high school in Kansas and also the scene of the crime of their much acclaimed 2009 release “Dracula Boots.” Kiki “El Coyote” Solis on bass and Ron “The Cap’n” Miller on drums along with, new Pink Monkey Bird, Jesse “The Candyman” Roberts (from Seattle’s The Ruby Doe) on guitar, keys and vocals firms up Kid Congo’s squawking flock. Brandishing 13 all original glam-tastic compositions, GORIILA ROSE blasts off with the explosive dance anthem “Bo Bo Boogaloo” wearing their 60’s Chicano Rock influence on their sleeves. Shake it don’t break it! That’s just the start of a wild ride thru funky but chic decadence (“Goldin Browne”) slip sliding rockabilly (“Hills Of Pills”) ,Teenage punkdom (“Our Other World”) mystic Kraut rock (“Bubble Trouble”) , baby-making sleaze (“Catsuit Fruit”), the best bad Peyote trip you ever took ( “Injun War Crimes.”) and even a velvety call from the beyond (Lullaby in Paradise). Finding inspiration in the past is what Kid Congo and The Pink Monkey Birds do best. On this 2011 sonic trip, Kid brings his past into the present and names it after someone flamboyant and inspired. GORILLA ROSE.","http://www.youtube.com/e/LzP75sxx980?enablejsapi=1&version=3"
"http://do512.com/c/sx2013/bands/tijuana-panthers","Tijuana Panthers","Long Beach, California, United States Tags: surf rock, lesser known yet streamable artists, various artists are a pita on lastfm","surf rock, lesser known yet streamable artists, various artists are a pita on lastfm","Pop / Surf","http://www.youtube.com/e/iCOcOOkRCLg?enablejsapi=1&version=3"
"http://do512.com/c/sx2013/bands/el-vez","El Vez","LA, California, US Tags: rock, spanish, mexican","rock, spanish, mexican","Rockabilly / Alternative / Punk","http://www.youtube.com/e/QEO_AEhUg3I?enablejsapi=1&version=3"
"http://do512.com/c/sx2013/bands/hills-like-elephants","Hills Like Elephants","San Diego, CA",,"With the addition of samples, a couple guitars, and live traps backed by programmed beats, Hills Like Elephants announces their presence on the national scene with a dance-friendly re-imagination of indie rock, lo-fi disco, and what frontman Sean Davenport calls “Motown with drum machines.”On their sophomore effort, Feral Flocks, San Diego indie soul stalwarts grow from a solo project of keyboard crooner Davenport (Gun Runner, Abigail Warchild) into a full five-piece band.(Feral Flocks REQ06 Requiemme Records/BMG Chrysalis – March 26, 2013)Only months after the release of their debut The Endless Charade, Hills Like Elephants were crowned Best New Artist at the 2012 San Diego Music Awards and went on to play a series of hometown performances to venues so full, not even Hemmingway could get a drink.“On The Endless Charade, I was harping on the idea of past relationships, but I was also trying to move on,” says Davenport. “Feral Flocks is more about noticing the subtleties of life, but I’m not trying to be profound. If I wouldn’t say it to you at a bar, I won’t say it lyrically.”Engineered by vintage aficionado Christopher Hoffee at CHAOS Recorders, Feral Flocks attests to the fact that Davenport’s fire is not fueled by grief and heartache alone. Rather, the band finds an uplifting groove that tells of newfound inspiration.Opening number “Ninjavitus” sets the tone with shimmering keys Greg Theilmann , a whimsical, mock-Orient guitar lead Andrew Armerding, Daniel Gallo’s driven bass lines, and beats backed by the calculating rhythms of Carlos Ortiz from Davenport’s prior outfit, Gun Runner.The band recently completed a video for “Ninjavitus” (directed by Eric Casas) poking fun at the daily promotional chores of just about every contemporary band, which requires everything from internet solicitations to sign spinning skills on a street corner.“Splendor,” continues the coltish resolve with a chorus that, minus the track’s New Wave abandon, could come off as bitter: “Oh, there you go, walking slow, and I need you there.”Instead, it rings of admiration.“Mystifying Oracle” elaborates on Feral Flocks’ quixotic disposition with expansive guitar hooks, ecstatic builds, and a star-crossed breakdown which wonders, “Am I ever gunna wake up where you are?”With a tour on the horizon (first stop, SXSW 2013) and two knockout albums under their belt, there’s no saying where the band will wake up next – but who cares?After all, up here in the Hills, the view is extraordinary.via Facebook","http://www.youtube.com/e/bK4VNTAp2Ck?enablejsapi=1&version=3"
"http://do512.com/c/sx2013/bands/gram-rabbit","Gram Rabbit","Joshua Tree, CA Tags: indie, alternative, alt-country","indie, alternative, alt-country","Riding high off the buzz of their National Ad campaign with Fruit of the Loom, Gram Rabbit is set to hit the road with L.A.‘s “Spindrift” in support of their upcoming new release, “Brasied & Confused”. The National tour will begin in early March and include a showcase at SXSW in Austin.’, tahoma, verdana, arial, sans-serif; font-size: 11px; line-height: 14px;"">In the late Summer of the year 2000, Jesika von Rabbit and Todd Rutherford met in a secluded house in Joshua Tree, in the middle of the Mohave Desert. Both weary of city life, and both in search of a destiny that centered around their musical ambitions. What they found in each other, would soon spark a creative force unlike any other in popular music today. A force that continues to expand, inspire, convert, and test the limits of the status quo.“Dry and tough as mule jerky, sexy as a swayed hip, the music weaves elements of electro-dance, Byrd’s-era country rock, inner-space jazz, and gnomic meditations in the manner of Spiritualized and Pink Floyd into a sound that’s unaffectedly homey, profoundly ambitious, and frankly revolutionary.”-Ron Garmon, LA CityBeat via Facebook","http://www.youtube.com/e/E9IAsQKySms?enablejsapi=1&version=3"
"http://do512.com/c/sx2013/bands/the-tontons","The Tontons","Houston, Tx Tags: psychedelic, psychedelic rock, funky","psychedelic, psychedelic rock, funky","Psychedelic / Rock","http://www.youtube.com/e/OpV3_E-nHcM?enablejsapi=1&version=3"
"http://do512.com/c/sx2013/bands/the-soft-white-sixties","The Soft White Sixties","San Francisco",,"The Soft White Sixties, one of San Francisco’s most talked about bands, have been hailed by some press as legitimate heirs to the Maximum R&B moniker placed on The Who some 40-plus years ago; and while that’s not un-true, The Soft White Sixties offer so much more. Like a perfect collision between the sweetly subversive melodies of T-Rex and the hard-edged pop sensibilities of The Strokes, The Soft White Sixties’ brand of rock ‘n roll blends heavy, soulful grooves with a driving beat.Since releasing their debut EP in April of 2011, The Soft White Sixties have been busy. After immediately filling larger venues in their hometown, from Slim’s to The Great American Music Hall, they were invited to perform at festivals around the country. Over the last year and a half, The Soft White Sixties made appearances at The High Sierra Music Festival in Quincy, CA, The Harmony Festival in Sonoma, CA, The Treefort Music Festival in Boise, ID, CMJ in New York, NY, and SXSW in Austin, TX, where they shared the stages with bands like My Morning Jacket, Dr. Dog, Delta Spirit, and The Flaming Lips. In 2012, The Soft White Sixties successfully completed their first full US tour, going from coast to coast to play 25 shows in 30 days across 16 states. To coincide with the national tour, the band released a 9-episode documentary entitled “Knock It Loose: On The Road with The Soft White Sixties”, covering their first West Coast tour, produced by San Francisco’s own BAMM.tv. You can hear their music regularly spinning on radio stations like Live 105 and KUSF in San Francisco, KEXP in Seattle, WLOY in Maryland, and Radio Boise, and might catch some of their songs currently licensed for film and national television campaigns.With a new record on the horizon produced by Jim Greer (known for his work with Dan the Automator and most recently Foster the People’s platinum-selling, Grammy-nominated album, Torches), The Soft White Sixties show no signs of slowing down.“The Soft White Sixties look like they belong on a bigger stage.” - Michele McManmon, SF Examiner “Maximum R&B is what was used to describe The Who back in their prime, and Bay Area boys The Soft White Sixties are prime candidates to take that description as their own. Having just recently sold out a headlining gig at The Great American Music Hall, the quintet are laying down a sinfully soulful rock sound that always goes down smooth.” - Andrew Pohl, Noise Pop 2011 “Attendees who bump the seminal Nuggets garage rock compilations might suggest that a concoction of fun-loving, acid-tinged soul and bluesy guitar-rock co-indicates, on paper, gleefully chaotic and uneven musicianship. Perish the thought: the Sixties mold their muse into a modern soul-rock machine via a tight performance unencumbered by the large accompanying volumes of booze…Beyond the swamp-rock odes and sunny psychedelic blues, these guys were obviously having fun getting their work done.” - Mike Orne, SF Weekly “SF’s the Soft White Sixties sound like if Elton John wrote songs for CCR (use your imagination, and don’t think of the analogy as degrading), and went all over the place with them, sometimes diving into the heavy guitar of Tony Iommi, other times skipping along with the Strokes’ first album.”- Midtown Monthlyvia Facebook","http://www.youtube.com/e/DsFDiVhXXdA?enablejsapi=1&version=3"
"http://do512.com/c/sx2013/bands/sorne-","SORNE","Tallahassee, FL Tags: rock, progressive rock, progressive, visual","rock, progressive rock, progressive, visual","Visual","http://www.youtube.com/e/GiEmPENxRrc?enablejsapi=1&version=3"
"http://do512.com/c/sx2013/bands/shakey-graves","Shakey Graves","Austin, TX Tags: folk, americana, lo-fi","folk, americana, lo-fi","Shakey Graves is the moniker of Austin’s own Alejandro Rose-Garcia. Hailed as one of the best one-man shows in Austin, he captivates audiences with feverish finger picking and dramatic vocals, all while keeping time on a handmade kick drum. A multifaceted artist, Rose-Garcia wrote, recorded, and produced every element of his debut release ‘Roll The Bones’ which received rave reviews and was listed as one of the top ten albums of 2011 by The Austin Chronicle. Shakey Graves was named one of the 12 artists to watch in 2012 by KUT, and was bestowed with the distinct honor of having February 9th proclaimed “Shakey Graves Day” by the City of Austin. He’s also held down a residency at the Hole In The Wall, played an official SXSW showcase, and been invited to perform at just about every reputable music venue in Austin. Watch videos of Shakey Graves playing a Shiner Beer Session at The Do512 Lounge!","http://www.youtube.com/e/t6wkX8Bi7nA?enablejsapi=1&version=3"
