EventNum,Description,Title,Venue,Artists,Start Time,End Time,Street Address,City,State,Zip,URL,RSVP URL,Tags,Date,Day,Month,Day,Year,Start Time,Start Period,Start Hour,Start Minute,End Time,End Period,End Hour,End Minute,Venue+Address,Addres (Working),Street,City,State,Zip,Tags,Tags (Working),Consol. Event ID
8,0,Ryan Desiato,GoLab Austin,Ryan Desiato,2013-03-09 17:00:00',2013-03-09 20:30:00',621 E. 6th St. ,Austin,TX,78701,http://austin2013.sched.org/event/c0518bd4410e198b46c57be99c1338dc,-0,,"Saturday March 9, 2013 5:00pm - 8:30pm",Saturday,3,9,2013,5:00pm,pm,17,0,8:30pm,pm,20,30,"GoLab Austin (621 E. 6th St. Austin, TX 78701)","621 E. 6th St. Austin, TX 78701",621 E. 6th St. ,Austin,TX,78701,-0,,#N/A
30,0,Rixon,N/A,Rixon,2013-03-10 15:00:00',2013-03-10 19:00:00',707 Rio Grande St ,Austin,TX,78701,http://austin2013.sched.org/event/c51b280a0a777a3bd12efe972bf15137,-0,,"Sunday March 10, 2013 3:00pm - 7:00pm",Sunday,3,10,2013,3:00pm,pm,15,0,7:00pm,pm,19,0,"N/A (707 Rio Grande St Austin, TX 78701)","707 Rio Grande St Austin, TX 78701",707 Rio Grande St ,Austin,TX,78701,-0,,#N/A
31,0,"Starlings, TN",N/A,"Starlings, TN",2013-03-10 15:00:00',2013-03-10 19:00:00',707 Rio Grande St ,Austin,TX,78701,http://austin2013.sched.org/event/2f581b2586b8784944644f37f6204f7d,-0,,"Sunday March 10, 2013 3:00pm - 7:00pm",Sunday,3,10,2013,3:00pm,pm,15,0,7:00pm,pm,19,0,"N/A (707 Rio Grande St Austin, TX 78701)","707 Rio Grande St Austin, TX 78701",707 Rio Grande St ,Austin,TX,78701,-0,,#N/A
33,-0,DJ Spider,The Parish Austin,0,2013-03-10 21:00:00',2013-03-10 23:00:00',214 E. 6th Street ,Austin,TX,78701,http://austin2013.sched.org/event/298498dd233afb4b670ecb0d758eb3ce,-0,,"Sunday March 10, 2013 9:00pm - 11:00pm",Sunday,3,10,2013,9:00pm,pm,21,0,11:00pm,pm,23,0,"The Parish Austin (214 E. 6th Street Austin, TX 78701)","214 E. 6th Street Austin, TX 78701",214 E. 6th Street ,Austin,TX,78701,",",,#N/A
45,-0,NZCA/Lines,Old School Bar & Grill,0,2013-03-12 10:30:00',2013-03-12 13:00:00',401 E 6th Street ,Austin,TX,78701,http://austin2013.sched.org/event/76b85fdcee0e223b71e8d3a46dd9b632,-0,,"Tuesday March 12, 2013 10:30am - 1:00pm",Tuesday,3,12,2013,10:30am,am,10,30,1:00pm,pm,13,0,"Old School Bar & Grill (401 E 6th Street Austin, TX 78701)","401 E 6th Street Austin, TX 78701",401 E 6th Street ,Austin,TX,78701,",",,#N/A
53,-0,Empire Machines,Dogwood,0,2013-03-12 17:00:00',2013-03-12 20:00:00',715 W 6th St ,Austin,TX,78701,http://austin2013.sched.org/event/6d1fd60b6962ef7816cfc4309895bcfc,-0,,"Tuesday March 12, 2013 5:00pm - 8:00pm",Tuesday,3,12,2013,5:00pm,pm,17,0,8:00pm,pm,20,0,"Dogwood (715 W 6th St Austin, TX 78701)","715 W 6th St Austin, TX 78701",715 W 6th St ,Austin,TX,78701,",",,#N/A
55,-0,Japanther,Valhalla,0,2013-03-12 17:00:00',2013-03-12 18:00:00',710 Red River St,,,,http://austin2013.sched.org/event/4580e282d2a8ea2b526c24af6236f7cf,-0,"Band, Unofficial, Free Stuff Free Drinks","Tuesday March 12, 2013 5:00pm - 6:00pm",Tuesday,3,12,2013,5:00pm,pm,17,0,6:00pm,pm,18,0,Valhalla (710 Red River St),710 Red River St,710 Red River St,,,,"Band, Unofficial, Free Stuff Free Drinks","Band, Unofficial, Free Stuff Free Drinks",#N/A
57,-0,whysowhite,Dogwood,0,2013-03-12 17:00:00',2013-03-12 20:00:00',715 W 6th St ,Austin,TX,78701,http://austin2013.sched.org/event/f33ce1617e10cdedba9be8fe5badb767,-0,,"Tuesday March 12, 2013 5:00pm - 8:00pm",Tuesday,3,12,2013,5:00pm,pm,17,0,8:00pm,pm,20,0,"Dogwood (715 W 6th St Austin, TX 78701)","715 W 6th St Austin, TX 78701",715 W 6th St ,Austin,TX,78701,",",,#N/A
90,0,Ana Santa and Friends,Hostelling International - Austin,Ana Santa and Friends,2013-03-13 12:00:00',2013-03-13 12:45:00',2200 S. Lakeshore Blvd ,Austin,TX,78741,http://austin2013.sched.org/event/dcee2f8032518b11c3b728aa1cbe18a2,-0,,"Wednesday March 13, 2013 12:00pm - 12:45pm",Wednesday,3,13,2013,12:00pm,pm,12,0,12:45pm,pm,12,45,"Hostelling International - Austin (2200 S. Lakeshore Blvd Austin, TX 78741)","2200 S. Lakeshore Blvd Austin, TX 78741",2200 S. Lakeshore Blvd ,Austin,TX,78741,",",,#N/A
126,0,Brian Patterson,Hostelling International - Austin,Brian Patterson,2013-03-13 12:45:00',2013-03-13 13:30:00',2200 S. Lakeshore Blvd ,Austin,TX,78741,http://austin2013.sched.org/event/644e0dc033833bab7e46fd15b6976dad,-0,,"Wednesday March 13, 2013 12:45pm - 1:30pm",Wednesday,3,13,2013,12:45pm,pm,12,45,1:30pm,pm,13,30,"Hostelling International - Austin (2200 S. Lakeshore Blvd Austin, TX 78741)","2200 S. Lakeshore Blvd Austin, TX 78741",2200 S. Lakeshore Blvd ,Austin,TX,78741,-0,,#N/A
140,0,Ben Balmer,Hostelling International - Austin,Ben Balmer,2013-03-13 13:30:00',2013-03-13 14:15:00',2200 S. Lakeshore Blvd ,Austin,TX,78741,http://austin2013.sched.org/event/ac3689d282d96d4d733fd70c7a6ecd0f,-0,,"Wednesday March 13, 2013 1:30pm - 2:15pm",Wednesday,3,13,2013,1:30pm,pm,13,30,2:15pm,pm,14,15,"Hostelling International - Austin (2200 S. Lakeshore Blvd Austin, TX 78741)","2200 S. Lakeshore Blvd Austin, TX 78741",2200 S. Lakeshore Blvd ,Austin,TX,78741,-0,,#N/A
161,0,Lonesome Heroes,Hostelling International - Austin,Lonesome Heroes,2013-03-13 14:15:00',2013-03-13 15:00:00',2200 S. Lakeshore Blvd ,Austin,TX,78741,http://austin2013.sched.org/event/1025a93c80c110d5bec65b5e99b8d115,-0,,"Wednesday March 13, 2013 2:15pm - 3:00pm",Wednesday,3,13,2013,2:15pm,pm,14,15,3:00pm,pm,15,0,"Hostelling International - Austin (2200 S. Lakeshore Blvd Austin, TX 78741)","2200 S. Lakeshore Blvd Austin, TX 78741",2200 S. Lakeshore Blvd ,Austin,TX,78741,-0,,#N/A
173,0,Burgess Meredith,Hostelling International - Austin,Burgess Meredith,2013-03-13 15:00:00',2013-03-13 15:45:00',2200 S. Lakeshore Blvd ,Austin,TX,78741,http://austin2013.sched.org/event/813671e16a363489e7cb268470a48b3f,-0,,"Wednesday March 13, 2013 3:00pm - 3:45pm",Wednesday,3,13,2013,3:00pm,pm,15,0,3:45pm,pm,15,45,"Hostelling International - Austin (2200 S. Lakeshore Blvd Austin, TX 78741)","2200 S. Lakeshore Blvd Austin, TX 78741",2200 S. Lakeshore Blvd ,Austin,TX,78741,",",,#N/A
196,0,Other Lovers,Hostelling International - Austin,Other Lovers,2013-03-13 15:45:00',2013-03-13 16:30:00',2200 S. Lakeshore Blvd ,Austin,TX,78741,http://austin2013.sched.org/event/d8f2beb280884bf02e9031047eec2b99,-0,,"Wednesday March 13, 2013 3:45pm - 4:30pm",Wednesday,3,13,2013,3:45pm,pm,15,45,4:30pm,pm,16,30,"Hostelling International - Austin (2200 S. Lakeshore Blvd Austin, TX 78741)","2200 S. Lakeshore Blvd Austin, TX 78741",2200 S. Lakeshore Blvd ,Austin,TX,78741,-0,,#N/A
214,0,Ice Eater,Hostelling International - Austin,Ice Eater,2013-03-13 16:30:00',2013-03-13 17:30:00',2200 S. Lakeshore Blvd ,Austin,TX,78741,http://austin2013.sched.org/event/86dce1c4488dc11b9602f771f8387fef,-0,,"Wednesday March 13, 2013 4:30pm - 5:30pm",Wednesday,3,13,2013,4:30pm,pm,16,30,5:30pm,pm,17,30,"Hostelling International - Austin (2200 S. Lakeshore Blvd Austin, TX 78741)","2200 S. Lakeshore Blvd Austin, TX 78741",2200 S. Lakeshore Blvd ,Austin,TX,78741,",",,#N/A
236,0,ELVIS,Hostelling International - Austin,ELVIS,2013-03-13 17:30:00',2013-03-13 18:00:00',2200 S. Lakeshore Blvd ,Austin,TX,78741,http://austin2013.sched.org/event/24bf49b4a25fe4c931e2fea69fd7ed17,-0,,"Wednesday March 13, 2013 5:30pm - 6:00pm",Wednesday,3,13,2013,5:30pm,pm,17,30,6:00pm,pm,18,0,"Hostelling International - Austin (2200 S. Lakeshore Blvd Austin, TX 78741)","2200 S. Lakeshore Blvd Austin, TX 78741",2200 S. Lakeshore Blvd ,Austin,TX,78741,-0,,#N/A
245,0,Bobby Jealousy,Hostelling International - Austin,Bobby Jealousy,2013-03-13 18:00:00',2013-03-13 18:30:00',2200 S. Lakeshore Blvd ,Austin,TX,78741,http://austin2013.sched.org/event/f2e36e1e983b45dee9c98d10c88e33e9,-0,,"Wednesday March 13, 2013 6:00pm - 6:30pm",Wednesday,3,13,2013,6:00pm,pm,18,0,6:30pm,pm,18,30,"Hostelling International - Austin (2200 S. Lakeshore Blvd Austin, TX 78741)","2200 S. Lakeshore Blvd Austin, TX 78741",2200 S. Lakeshore Blvd ,Austin,TX,78741,",",,#N/A
312,-0,Ronee Blakley,Maria's Taco Xpress,0,2013-03-14 11:00:00',2013-03-14 11:40:00',2529 S Lamar Blvd,Austin,TX,78704,http://austin2013.sched.org/event/52dddb8752d949b3c6082e16fe7cb5a3,-0,,"Thursday March 14, 2013 11:00am - 11:40am",Thursday,3,14,2013,11:00am,am,11,0,11:40am,am,11,40,"Maria's Taco Xpress (2529 S Lamar Blvd, Austin, TX 78704)","2529 S Lamar Blvd, Austin, TX 78704",2529 S Lamar Blvd,Austin,TX,78704,-0,,#N/A
655,0,DJ Mattboy White,Turnt Mansion,DJ Mattboy White,2013-03-15 13:00:00',2013-03-15 13:45:00',Private Drive ,Austin,TX,78735,http://austin2013.sched.org/event/100e0997ff42dc829628f0eed3cf9590,-0,,"Friday March 15, 2013 1:00pm - 1:45pm",Friday,3,15,2013,1:00pm,pm,13,0,1:45pm,pm,13,45,"Turnt Mansion (Private Drive Austin, TX 78735)","Private Drive Austin, TX 78735",Private Drive ,Austin,TX,78735,-0,,#N/A
683,0,Palms,Hickory Street,Palms,2013-03-15 14:00:00',2013-03-15 15:00:00',800 Congress Ave,,,,http://austin2013.sched.org/event/d4262261361e921df2123996c9029cd9,-0,,"Friday March 15, 2013 2:00pm - 3:00pm",Friday,3,15,2013,2:00pm,pm,14,0,3:00pm,pm,15,0,Hickory Street (800 Congress Ave),800 Congress Ave,800 Congress Ave,,,,",",,#N/A
