"TechZulu Trend Lounge","Eighteenth Over Austin","We had so much fun last year speaking with entrepreneurs, startups, panel speakersand making new friends, we decided we just had to do it again this year. So weﾒre gathering some friends an opening the TechZulu Trend Lounge (#TZTL). 
All week we'll be taking over 18th Over Austin in the Hilton Garden Inn downtown. So don't worry if youﾒre unable to make it out this year, you'll still be able to catch all the excitement going on each day, as we'll be streaming LIVE all day.","2013-03-08 07:00:00","2013-03-08 02:00:00","500 North Interstate Highway 35","Austin","TX","78701","http://austin2013.sched.org/event/1deac21b7a665f8cc15b28120b6c41e1","Party, Unofficial","na"
"Tax Planning Breakfast","Blue Ribbon BBQ","For the successful entrepreneur, tax planning is essential in 2013. Changing tax laws will most certainly impact how you file your tax returns. We will discuss how best to minimize your taxes through prudent tax planning, and what to do about 2012 tax returns. Breakfast included.","2013-03-08 07:30:00","2013-03-08 09:00:00","120 East 4th Street","Austin","TX","78701","http://austin2013.sched.org/event/8d95a3a4144b0865875267da15c69905","Party, Unofficial","na"
"Evernote Ambassador Meetup","Maximum FX Salon & Spa on Congress","Join the Small Business Ambassador, Lindsey C. Holmes, CEO/ Lead Strategist of LCH Business SM & Tech, Chris Murphy, the Salon & Spa Ambassador and owner of Austin's hottest salons, Maximum FX Salon and Spas, and your fellow Evernote Enthusiasts for an Evernote Meetup during SXSW 2013. 
We'll GEEK out, because we LOVE Evernote and that's what we do! We'll share fun and productive user tips on how to use Evernote to Manage, Organize and Streamline your Business, Organization, Marketing and Recruitment workflow. We'll play with some trunk integrations and some of you will win a few... 
Then we'll drink BEER and eat FOOD.  
The hottest in Evernote Trunk integrations, drinks, food and Evernote Swag - what more can you ask for?! Get there early.","2013-03-08 09:00:00","2013-03-08 09:30:00","1007 S Congress Ave","Austin","TX","78704","http://austin2013.sched.org/event/ded0d8cfce3360a09ddcfe978ac06ba9","Party, Unofficial","na"
"Light Field Photography Contest (Lytro)","SXSW","Show off your photographic skills for a chance to win a Lytro camera and $500 in the Scene at SouthBy Light Field Photography Contest. 
Borrow a Lytro camera or bring your own. Register in advance to compete. We'll provide a light field lesson then set you loose at SXSW 2013.","2013-03-08 09:00:00","2013-03-08 18:00:00","101 Red River St","Austin","TX","78701","http://austin2013.sched.org/event/3d102e64cbe750eae8cb8588fa168435","Party, Unofficial","na"
"#TalentNet Live! Interactive Social Recruiting Conference (TalentNet Live)","Iron Cactus","TalentNet Live! will give attendees a chance to work on a real recruiting case study in real time with real practitioners in highly interactive, collaborative workshops. 
The best kind of learning is experiential, and TalentNet Live! is one learning experience you wonﾒt want to miss.  Youﾒll get the chance to work ﾖ and network with ﾖ some of the most influential thought leaders, practitioners and facilitators while building actionable strategies and templates HR & recruiting professionals at all levels can really use.  Really.","2013-03-08 10:00:00","2013-03-08 20:30:00","606 Trinity St.","Austin","TX","78701","http://austin2013.sched.org/event/dcfb593b57b96c0d05de092b4a02c2fb","Party, Unofficial","na"
"Door64 Austin Showcase","Norris Conference Center","Come celebrate local Austin flavor at the door64 Austin Showcase! We want to highlight all of our great technology startups, and start SXSW off on the right foot! Get out of the downtown hubbub and spend some time focusing on all of the great things going on in Austin. We expect to have some great talks about angel investing, getting funded, startup culture, and more. But first and foremost, we want to celebrate our companies. So help us gather up some of the best to showcase, and weﾒll see you in a couple of weeks to party Austin-startup-style, Attendance is free, but RSVPﾒs are requested. 
Sessions: 
10:30am: Funding Your Startup 
12:00pm: Pitch Sessions 
Participating Startups: 
Vivogig 
Foxy Soft/Venus Rising 
9W 
Campus Slice 
Railyard 
MyOrgWorks 
Continuum Analytics 
Quant Advisor 
Modern Health Talk 
Famigo 
Interested in participating? 
Showcase Startup Application 
Showcase Service Provider Application","2013-03-08 10:00:00","2013-03-08 14:00:00","2525 West Anderson Lane","Austin","TX","78757","http://austin2013.sched.org/event/8178b420695a328d8f0f7a3bb7dcd1a9","Party, Unofficial","na"
"Gigya Grill Breakfast","Copa","Kick off your day at the Gigya Grill Breakfast! 
Jumpstart your morning with coffee, light breakfast, and good conversation. Meet other innovators in the social marketing space and chat with Gigya's product experts and leadership team.","2013-03-08 10:00:00","2013-03-08 12:00:00","217 Congress Ave","","","","http://austin2013.sched.org/event/25553e17a367ab57ea67da4e42ffb1f4","Party, Unofficial","na"
"Wildfire Reggae & Arts Festival","The Music Ranch","3 day passes and single day tickets available at: http://wrafest.com/ 
March 7th - Gates open at 3pm. 
Dub Gideon & Likkle Shanx 
The Contrabandits 
Carlton Pride & Mighty Zion 
The Mau Mau Chaplains 
Alex Marley 
Marlon Asher & The Farmers 
March 8th: 
Bad Apples 
High Bred Roots 
Root Dimension 
Sol Tribe 
Shrub 
Soulfiya & The Blc 
Houseblend 
Young Costello 
Audic Empire 
Judivan Roots 
Dread Daze 
Lionhead 
Haleamano 
Natty Vibes 
Mike Love 
Gyptian","2013-03-08 10:00:00","2013-03-08 02:00:00","5220 N FM 973","Austin","TX","78724","http://austin2013.sched.org/event/f400c3efeecefd18e0439506e68b9a8b","Party, Unofficial","na"
"ERandL + ProQuest #ideadrop house","ER&L + ProQuest #ideadrop house","In coordination with other forward thinking library and info people (like the #sxswLAM = Librar*, Archiv* & Museum* group), ER&L and ProQuest are at SXSW bringing the value of libraries to the world and learning from the best and brightest in tech, public policy, social media and creative communities to libraryland.  
In coordination with other LAM-focused houses and activities at SXSW, ER&L + ProQuest #ideadrop house will be an informal meeting space ﾖless than 3 miles from the convention center and convenient to public transitﾖoffering salon style small group discussions for people in the space and broadcast out to the broader community, and just a great time with people who are all about libraries!  
If you have not seen our schedule of activities, visit the SCHED and come back to register.","2013-03-08 10:45:00","2013-03-08 16:00:00","2902 French Place","Austin","TX","78722","http://austin2013.sched.org/event/92b17c0359625372fff24d5c4fd9452e","Party, Unofficial","na"
"Tech Career Expo","Rivals Steakhouse","Tech Career Expo - http://TechCareerExpo.com - is the premier job fair showcasing the best tech jobs and career opportunities available. This is the ideal place for you to meet with and discuss employment with top companies ﾖ from startups to large firms ﾖ in a casual, creative environment (Rivals Steakhouse). Professionals involved in all aspects of technology (from engineering, programming and design, to marketing, sales, management and more) are welcome to participate.  
Participating Companies include: Amazon Music, ARC, Athenahealth, Bazaarvoice, Comcast,  
CompassLearning, CSID, Data Foundry, Dell, Digby, ebay, Enova, Evernote, Gemalto, General Motors, Groupon, HostGator.com, Intel, ISIS Mobile Commerce, Luna Data Solutions, Inc., MapMyFITNESS, Inc., Microsoft, Mitratech, Myspace, Pandora, Patient Conversation Media, Quantcast, Reddwerks, SailPoint Technologies, Samsung Austin Semiconductor, SendGrid, Sparefoot, Spredfast, SurveyMonkey, T3, Texas Windstorm Insurance Association (TWIA), The Advisory Board, Viacom, Visa, Volusion, WhaleShark Media, Inc., Yelp, Yodle, and Zoosk. 
(Visit http://TechCareerExpo.com for current list)","2013-03-08 11:00:00","2013-03-08 17:00:00","311 E 5th St","","","","http://austin2013.sched.org/event/02ef5c3049749794d5e0f523511ef5d0","Party, Unofficial","na"
"Always Be Jumping! (21 Switchbacks)","Trapeze Austin","Reaching your potential as an entrepreneur has everything to do with fear. 
This two-hour circus workshop at Austin Trapeze will give you a chance to face your fear head on. We'll jump, flip and fly under the guidance of circus/trapeze trainers. 
You'll also get to know a handful of other entrepreneurs and creators, people who, like you, are facing their fears in order to share something unique and valuable with the world. 
Notes: 
1) We will be organizing shared rides. This event is 20 minutes from downtown Austin. 
2) A moderate level of fitness is recommended. 
3) Socks are required. If you do not bring your own, socks will be provided for you to purchase.  Please come to class with active wear (yoga pants or capris for women; long pants for men). Shorts are also acceptable. Please bring water as well.","2013-03-08 12:00:00","2013-03-08 14:00:00","13317 Fitzhugh Road","Austin","TX","78736","http://austin2013.sched.org/event/df21843da33772543d8a401b43633f2f","Party, Unofficial","na"
"Gigya Grill Luncheon","Copa","Eat, Drink, and Be Social! 
Share a meal with the top minds in digital and social. Lunch is on us!","2013-03-08 12:00:00","2013-03-08 14:00:00","217 Congress Ave","","","","http://austin2013.sched.org/event/312d45445b56d207f30e1f24ece486c6","Party, Unofficial","na"
"RxSM: Underground Film Expo","Emo's East Plaza","Free with RSVP 
We're elated to present 100 films, including featured premieres, 18 films that have won Best Feature, Best Documentary or Best Short at Film ExChange Network Festivals in Victoria, TX; Brooklyn, NY; New Orleans, LA; Corpus Christi, TX; Hamburg, Germany; and Lahti, Finland. 
Highlights & Special Events: 100 Films, Superior Cinephile Contest, Unlimited Libations, Celebrity Appearances, Late Late Thursday Night Social Ride After Party, Special Event Premiere of Danko Jones (Lemmy Kilmister, Elijah Wood, Selma Blair, & Mike Watt) 
One film from each category will travel to the Victoria, TX Independent Film Festival, held April 4-7 
Schedule: 
12:00pm: Check in, Vodka Pre Party, and Food 
4:30pm: Youth Focus Shorts Program 
To the Bone 
Abuelas 
Lollywood 
Jonah and the Crab 
Jody's Bra 
6:00pm: Femme Fantastic Shorts 
Tsuyako 
 BUNNi 
Avenue D 
The Proprietor 
7:30pm: 
IL FUTURO 
Te Vas 
10:00pm: RxSM Exchange Showcase 
Luminaris 
Between the Devil and the Deep Blue Sea 
Watchtower 
2:00am: 
Pictures of Superheroes","2013-03-08 12:00:00","2013-03-08 04:00:00","2015 E Riverside Dr","Austin","TX","78741","http://austin2013.sched.org/event/3d27174afd0d021793ce1d188acca8b0","Party, Unofficial","http://do512.com/c/sx2013/event/2013/03/08/rxsm-iv-self-medicated-film-expo-day-one-free-w-rsvp-on-do512"
"Black Box Lounge","Four Seasons, Stone's Crossing","The South by Southwest Interactive Festival offers a visitor numerous opportunities, but it can be complex to navigate and digest all the content. Fleishman-Hillard communications specialists are presenting the Black Box Lounge, an area for visitors to recharge and discuss the news and topics of the five-day event. The lounge will showcase the agencyﾒs ﾓblack box,ﾔ an intelligent system that creates content from the conversations coming out of SXSW ﾗ in real time ﾗ across all social platforms. In addition, the lounge will help attendees navigate the festivalﾒs many events and sessions.","2013-03-08 13:00:00","2013-03-08 18:00:00","98 San Jacinto Boulevard Stone's Cellar","Austin","TX","78701","http://austin2013.sched.org/event/b04fb7af7eb7778c200b9831e9bc2968","Party, Unofficial","na"
"Engine 26 Workshop with Daniel Hirschmann","Hackney House","Engine26 at Hackney House Austin is a digital painting workshop delivered by Daniel Hirschmann of Hirsch and Mann and Technology Will Save Us. All visitors to Hackney House Austin are welcome to paint and play, using bespoke software on touch tablets with tuition from Daniel Hirschmann, from 2-4pm every day during SXSWi 2013. 
Engine26 by Daniel Hirschmann is part of the ongoing experimentation and development of the generative painting genre of new media artwork. It has been developed to act as a collaborative tool that allows the combination of pattern, structure, color, context and process to produce versioned artworks. The software is written to allow for the gestural manipulation of live video and the output of a ﾑpaintedﾒ moment in time.  
Please note that registering for an event does not guarantee admission. Admission is granted on a first come, first served basis to those who have booked through Eventbrite. Schedule subject to change.","2013-03-08 14:00:00","2013-03-08 16:00:00","119 West 6th Street","Austin","TX","78701","http://austin2013.sched.org/event/155322e83ff162386be3f08c83028cea","Party, Unofficial","na"
"Lender/Realtor BBQ and Homesnap Walking Tour","Homesnap SXSW House","Come join Austin Area Realtors and Lenders for Burgers, Beers and the official launch of Homesnap 2.0. 
Homesnap is a top 5 real estate app and website with over a million unique visitors and is launching a new tool to specifically help realtors and lenders increase lead conversion and client referrals. 
To show off just how easy Homesnap makes the home buying process we are going to have a Homesnap walking tour from our SXSW headquarters in east Austin to the bars on 6th Street.  
The Homesnap team is looking forward to hearing your thoughts and meeting in person.","2013-03-08 14:00:00","2013-03-08 16:00:00","2304 Santa Maria Street","Austin","TX","78702","http://austin2013.sched.org/event/f8068918d15c06aabfb2eeaf5b10a679","Party, Unofficial","na"
"Game & App Jam","Palmer Events Center","Unity, STEM Council, and SXSW bring you a Game Jam of epic proportions. Join us as we jam out games and apps over a 48 hr period. Are you up to the challenge? Awesome prizes and recognition await you.","2013-03-08 15:00:00","2013-03-08 20:00:00","900 Barton Springs Rd","","","","http://austin2013.sched.org/event/28ad818aed4573ed6736268e39f181c6","Party, Unofficial","na"
"Gigya Grill Happy Hour","Copa","Mingle with industry leaders, grab a beer and a bite, enjoy our live DJ, and meet top brass from the largest enterprises in the world.","2013-03-08 15:00:00","2013-03-08 17:00:00","217 Congress Ave","","","","http://austin2013.sched.org/event/81052fa163309c88d8201200a90ea74a","Party, Unofficial","na"
"Beers, Brats & Gaming Apps (Microsoft)","Banger's","SXSW is no ordinary festival ﾖ and this is no ordinary event. 
Microsoft and GameSalad will keep the beer flowing and the brats grilling at a special opening day happy hour at Banger's Sausage House & Beer Garden. This Austin hangout has over 100 beers on tap and the largest sausage selection in the city. If that doesn't whet your appetite, how about live entertainment and the chance to win some amazing prizes? 
Mingle with other smart game & app developers and designers over a craft brew and get insight from the experts on how to bang out your great Windows 8 app. You might even meet Miss Pickles, Banger's friendly bulldog and the official Head of Security. 
So get hungry, get inspired and join us for this special event ﾖ just a short walk from the Austin Convention Center. 
RSVP and save your bar stool today","2013-03-08 16:00:00","2013-03-08 19:00:00","79 Rainey Street","Austin","TX","","http://austin2013.sched.org/event/5d8ce89acaa8b21c107332ac0b9b5696","Party, Unofficial","na"
"CafePress Shindig","Bourbon Girl","RSVP now as space is limited. 
You all know CafePress ﾖ but are you up-to-date  on what CafePress has been up to lately? New brands, new products, and more. County Line Barbecue and libations will abound as CafePress celebrates the launch of MyInstaCard, a new mobile site that allows you to turn your Instagram photos to post cards, and shares upcoming plans that both developers and designers will get excited about. 
And to celebrate the first in what we hope becomes an annual event, CafePress will celebrate the Shin-Dig by rewarding participants with an exclusive T-shirt as a collector's item. (We promise Jason Falls's face won't be on it. Heh.) 
Anyone who comes dressed in clothing from or with products purchased on CafePress (iPad or iPhone cases, shirts, jewelry or more) will receive a free prize. Anyone who comes to the event and can show their Instagram account connected MyInstaCard will get a Special Special prize! (It rhymes with ""extra drink ticket."") 
Come see one of Austin's newest and awesome-est bars, hang out with Jason Falls and the CafePress team, see what's in store for developers and designers at CafePress in 2013, get free shwag, eat good 'cue ﾅ Oh, for cry in' out loud! RSVP!","2013-03-08 16:00:00","2013-03-08 19:00:00","212 East 6th Street","Austin","TX","78701","http://austin2013.sched.org/event/d2f5f233a104fc9dc326313cec30ce2d","Party, Unofficial","na"
"Hackney House Opening Party with Mayor Leffingwell","Hackney House","The next chapter of the Friendship City Agreement, established in 2012 between Austin, Texas and the London Borough of Hackney, will see a delegation of some of the most exciting and innovative companies travelling from Londonﾒs East End to showcase their wares during this years SXSW Interactive festival. 
This trip reciprocates last years visit by Austinﾒs Mayor Lee Leffingwell and his digital media trade mission, organised to foster exchange in the areas of high-tech and digital media, the creative industries, economic development, and sustainability. 
The east London team will be setting up as Hackney House Austin ﾖ an international travelling ﾑcapsuleﾒ edition of 2012ﾒs stunning and successful urban pop-up space, set up in Hackney's Shoreditch district during last years Olympic Games. Created to act as a hub for new investment to Hackney, it succeeded to showcase this East End cluster of culturally relevant creative businesses currently making their global mark. 
To celebrate the arrival of Hackney House Mayor Leffingwell will be on hand to draw back the curtains on one of our amazing installations and officially open the event.","2013-03-08 16:00:00","2013-03-08 18:00:00","119 West 6th Street","Austin","TX","78701","http://austin2013.sched.org/event/b43e518f835c7234fb437b7d3fe32d7b","Party, Unofficial","na"
"Food & Tech Cocktails","El Naranjo","This networking event will bring together the vibrant food community of food entrepreneurs, product manufacturers, technologists, investors and other food system innovators at SXSW.  
Weﾒll be serving up authentic Oaxacan appetizers and cocktails throughout the evening, and you can be sure to make lots of great connections.","2013-03-08 16:30:00","2013-03-08 19:00:00","85 Rainey St.","Austin","TX","78701","http://austin2013.sched.org/event/7450007043c47184e3e5a1260d136023","Party, Unofficial","na"
"Affiliate Marketing Happy Hour","J Blacks","Join Affiliate Summit, DIYthemes, Marketing Clique, Schaaf-PartnerCentric, and For Me To Coupon for an open bar happy hour at the start of SXSW. No badge required. All affiliate marketers welcome!","2013-03-08 17:00:00","2013-03-08 20:00:00","710 W 6th St","Austin","TX","","http://austin2013.sched.org/event/85f7dc005e3c6d481bb16b534b3cf26d","Party, Unofficial","na"
"Carnival (LGBT Happy Hour by StartOut)","Conduit Corner","SXSW Interactive is known to gather the best and the brightest, so we invite you to mix and mingle with some of the most innovative LGBT entrepreneurs, industry pioneers, service providers and investors from all over the world. Whether you've built a great company, are in the process of building one, or invest in great people and ideas, come and meet those who share your enthusiasm and passion!   
It's bound to be a fun evening of networking, socializing and exchanging ideas, so swing by our big top tent and join us for specialty drinks, cotton candy, games and even a dunk tank! 
RSVP is required. Must be 21+ to attend.","2013-03-08 17:00:00","2013-03-08 19:00:00","E 7th St & Congress Ave","Austin","TX","","http://austin2013.sched.org/event/edcb31d6c86d7e77afe1706279cc1b4d","Party, Unofficial","na"
"Mobile Meetup","The Ginger Man Pub","Are you a mobile nut, mobile blogger,mobile developer, mobile entrepreneur?  Come commensurate with your fellow mobile nuts over a few beers (or ciders or whatever). 
We don't care if you carry an iPhone, Nokia, BlackBerry, Windows Phone or Android - come hang out and let's talk mobile and get to know each other. 
We'll gather at the Ginger Man Pub on the back patio - a short 5 minute walk from the Convention Center.","2013-03-08 17:00:00","2013-03-08 20:00:00","301 Lavaca St","Austin","TX","78701","http://austin2013.sched.org/event/c6837e0588eaa9165608fe44381098b9","Party, Unofficial","na"
"Give Back Party Benefiting Dress for Success Austin","Russian House of Austin","Itﾒs time for SXSWﾮ again, and to celebrate we are throwing our first annual give-back party at Russian House of Austin, one on Austin's newest hot spots to benefit Dress for Success Austin. Come join us and the best of the best in the local HR and recruiting community to help a worthy causeﾗwhile networking and enjoying live music from The Flying Balalaika Brothers in one of Austinﾒs hot spots! Register today to attend, donate or sponsor! Two free drink tokens will be given to all registered attendees upon entry.","2013-03-08 17:30:00","2013-03-08 19:30:00","307 E 5th","Austin","TX","78701","http://austin2013.sched.org/event/7a4cac825b20bffc7f66c9a9395bbc98","Party, Unofficial","http://do512.com/c/sx2013/event/2013/03/08/the-1st-annual-give-back-party-benefiting-dress-for-success-austin"
"#BigGay Kickoff Party (Austin Gay and Lesbian Chamber of Commerce)","Oilcan Harry's","Celebrate the start of SXSW 2013 with your LGBT friends and family! It's the funnest, biggest, gayest way to kick off the conference!","2013-03-08 18:00:00","2013-03-08 22:00:00","211 W 4th St","Austin","TX","78701","http://austin2013.sched.org/event/f712f8a7d271e657c60a3daa1033e2df","Party, Unofficial","http://www.eventbrite.com/event/5495912422/SRCH"
"#SXSpreadfast Kickoff Party","Speakeasy","This yearﾒs #SXspredfast kickoff party is going to be bigger and better than ever! Join us for 3 floors of bars, networking with the biggest brands in social, bowling and a special guest DJ!","2013-03-08 18:00:00","2013-03-08 21:00:00","412 Congress Ave","Austin","TX","78701","http://austin2013.sched.org/event/0558804736a09602f3093511fcd82dbd","Party, Unofficial","http://sxsw.spredfast.com/kickoff-party/"
"Big Nerd Ranch Gypsy Caravan","The Gypsy Lounge","We've seen the future, and it's Nerdy! Join our rockin' Gypsy Caravan as we descend on SxSW for a look into the mobile future. Fortune tellers, Tarot Card readings, photos, great giveaways (including a Big Nerd Ranch class!), live music and of course tasty treats and drinks.","2013-03-08 18:00:00","2013-03-08 23:00:00","1504 East 6th Street","Austin","TX","78702","http://austin2013.sched.org/event/16aa0c4aae3f598eb31914a3014a1b87","Party, Unofficial","mailto:RSVP@bignerdranch.com"
"BiT Opening Reception & Top 10 Black Innovators of 2012 Awards","George Washington Carver Museum and Cultural Center","Presentation of the BiT Top Ten Innovator Awards recognizing the top ten African Americans who made the biggest impact in 2012. And you canﾒt experience the Live Music Capital Music of the Worldﾙ without live music ﾖ right? Weﾒll have a sizzling live soul auditory experience for your pleasure ﾖ  along with DJ Phife spinning the best in eclectic neo-sounds.","2013-03-08 18:00:00","2013-03-08 21:00:00","1165 Angelina St.","Austin","TX","78702","http://austin2013.sched.org/event/f41481fb48cb93957cebbd718667ea10","Party, Unofficial","na"
"Indie 512 Showcase",512,"Top bands, Hip Hop Lyricists, and Djs from all over the world come together in Austin TX for one night of exciting performances prior to showcasing at SXSW. Late night bands & live art. 
For more information: http://www.indie512.com/","2013-03-08 18:00:00","2013-03-08 18:00:00","408 E 6th St","","","","http://austin2013.sched.org/event/fd4b2c883635ea2d6b23b8bb4932b0d2","Party, Unofficial","na"
"Michigan Meetup","Champions","Join the founders of CoWharf Coworking of Traverse City, MI,  Kirsten and Bradley Matson and other Michigan Enthusiasts for a Michigan Meetup during SXSW 2013. We'll chat about how Michigan is reinventing itself, how we can work together, and some SXSW tips, good food and drinks. Get there early. 
This event is currently sold out.","2013-03-08 18:30:00","2013-03-08 20:00:00","300 E 4th St","","","","http://austin2013.sched.org/event/e9d06d8d6931bd025f6235b3b0229caf","Party, Unofficial","http://www.eventbrite.com/event/5221481592/sched"
