Thrice Cafe,39645
Scholz Beer Garten,39735
East Side Show Room,40139
Blind Pig Pub,40238
Loft 718,40239
The Historic Victory Grill,40358
SFC's Triangle Farmer's Market,40426
Trophy's,40462
Baby Acapulco Stonelake,40488
The Thirsty Nickel,40523
SFC's Sunset Valley Farmer's Market,40820
Friends Bar On Sixth Street,40823
Trailer Space Records,47487
Texas Mist,40977
House Wine,41150
Amaya's Taco Village,41191
COPA BAR & GRILL,41359
Varsity Bar,41468
Fair Bean Coffee,41499
Nasty's Bar,41553
SFC Farmer's Market East,41615
Latitude Thirty,42055
Patsy's Cowgirl Cafe,42206
Green Mesquite,42217
Sam's Town Point,42336
Las Palomas Restaurant-Bar,42388
Mimi's Cafe,42642
Poodle Dog Lounge,42989
Waterloo Ice House - Avery Ranch,43005
El Sol y La Luna,43006
End of an Ear,43146
Patagonia,43277
Brown Bar,43604
Waterloo Ice House (Capital of Texas Highway),43819
South First Food Court,44194
Buenos Aires Cafe East,44687
Green Pastures,44703
Tom's Tabooley,45929
Red 7,39362
The Oasis on Lake Travis,41412
Broken Spoke,40219
Anderson Mill Tavern,40284
Club 1808,47524
Giddy Ups,46884
Ginny's Little Longhorn Saloon,46885
Antone's Record Shop,44340
The Dizzy Rooster,40381
Satellite Bistro & Bar,40041
B.B. Rovers International Cafe & Pub,42670
Carousel Lounge,40345
Texas Music Theater,47004
Speakeasy- Main stage (Congress entrance),40556
Hotel Vegas,39383
Red Shed Tavern,42871
Beauty Ballroom,40459
Chuggin Monkey / Disc Revolt Party,47141
Maggie Maes,47142
Donn's Depot,39424
Manuel's,41278
Austin City Limits Live @ Moody Theater,47138
Texas Bar and Grill,41423
Plush,40564
Evangeline Cafe,39593
Frontier Bar,47035
Emo's East,46974
Waterloo Ice House Park Meadows,41781
Cedar Street Courtyard,40742
Long Center for the Performing Arts,39335
Triple Crown,47233
Cheatham Street Warehouse,47239
Central Market,47242
Club 606,39438
Buddy's Place,43628
Bat Bar Austin,47267
Coupland Dancehall,47269
Poodie&#39;s Hilltop Bar & Grill,47307
North by Northwest Restaurant and Brewery,39712
Dunn Bros. Coffee,47325
Angel's Ice House,47328
Gruene Hall,46951
Club de Ville,46956
ND at 501 Studios,39353
The Driskill Hotel,47338
Waterloo Ice House,43596
Mean Eyed Cat,40226
Beerland,39386
Chez Zee American Bistro,47444
Waterloo Ice House 38 & Medical,47473
Waterloo Ice House,44101
Flamingo Cantina,39391
The Parish,39350
McCullough Theatre,39421
Red Eyed Fly,39401
Saxon Pub,39352
Central Market Westgate,39620
Elephant Room,39346
Maggie Maes - Gibson Room,45251
Freddie's Place,42186
Mozart's Coffee Roasters,42040
Highball Austin,39326
Frank,39562
Z'Tejas Arboretum,42892
NeWorlDeli,41819
Strange Brew,44164
Halcyon,43860
Opa!,44453
One World Theatre,40149
Z'Tejas,41200
Scottish Rite Theatre,39364
Elysium,39402
Sherlock's Baker St. Pub & Grill,41952
Continental Club,39337
Lamberts,39544
Eddie V's - 5th Street,39528
Gueros Taco Bar,41014
The Rattle Inn,39446
Shooters Billiards and Sports Bar,40464
Flipnotics Coffeespace,41038
La Zona Rosa,39338
Manuel's Great Hills,42219
Spider House,40888
The Grand,44557
Cactus Cafe,39376
Lucky Lounge Austin,40201
Sahara Lounge (formerly TC's Lounge),39399
Baker's Street Pub,43302
Jax Neighborhood Cafe,41117
Stateside at the Paramount,39435
Threadgills South (World Headquarters),41172
MoJoe Room Bar & Grill,44627
Rusty's Austin,40551
Mohawk,39359
Antone's,39334
Stubb's Bar-B-Q,39473
The White Horse,39430
Nutty Brown Cafe and Amphitheatre,40188
